Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:1007
70fe1957-1b27-5a88-b029-49aa478a8567,,ACT-RHD:pulmonary_artery_balloon_stent_angioplasty,Pulmonary artery balloon/Stent angioplasty,,"live spells this 'Pulmonary artery balloon / stent angioplasty' -- kept the FSN as-is 2026-09-16 to avoid breaking the other question (Interventional Recommendation(s)) that already references this concept by this exact name; the ampathform JSON label carries the live spelling instead",Procedure,N/A,,,
0b8091e6-70ae-54b1-b503-78a045dfb595,,ACT-RHD:pulmonary_artery_band_placement,Pulmonary artery band placement,,,Procedure,N/A,,,
de858611-1930-5faa-823e-7b67763e2a58,,ACT-RHD:pulmonary_arteryplasty,Pulmonary arteryplasty,,,Procedure,N/A,,,
7bf4ae57-d4ba-5572-b7ab-5b98ae0d677d,,ACT-RHD:pulmonary_valve_repair_replacement,Pulmonary valve repair/replacement,,,Procedure,N/A,,,
36b3cc68-c53f-5a23-8380-24dbaf9c88fb,,ACT-RHD:pulmonary_valvuloplasty,Pulmonary valvuloplasty,,,Procedure,N/A,,,
7349b961-5ead-58e0-ae1a-24ecfa1f495a,,ACT-RHD:subaortic_stenosis_repair,Subaortic stenosis repair,,,Procedure,N/A,,,
aa5fefb0-cf61-5f36-82e6-31dbbdf3f616,,ACT-RHD:surgery,Surgery,,,Misc,N/A,,,
8344f52c-309c-535f-86b3-0c15edef0d8b,,ACT-RHD:tetralogy_of_fallot_repair,Tetralogy of fallot repair,,,Procedure,N/A,,,
f05d740b-f6ee-572e-b194-f313688c28fb,,ACT-RHD:tricuspid_valve_repair,Tricuspid valve repair,,,Procedure,N/A,,,
11d830c4-8d68-5ba0-b2f6-5e6feeab9d96,,ACT-RHD:truncus_arteriosus_repair,Truncus arteriosus repair,,,Procedure,N/A,,,
9380f911-1a7f-5ea0-8b3e-8843fe1103eb,,ACT-RHD:vascular_ring_division,Vascular ring division,,,Procedure,N/A,,,
3fe8e0c8-a2dc-53db-88a0-9fd88cbe1291,,ACT-RHD:ventricular_septal_defect_closure,Ventricular septal defect closure,,,Procedure,N/A,,,
23681599-4b81-517c-b5a5-6b24833c57cb,,ACT-RHD:ventricular_septal_defect_repair,Ventricular septal defect repair,,,Procedure,N/A,,,
b64ac407-b3ce-5134-a7e7-20d2be1189dc,,ACT-RHD:a_pos,A+,,,Misc,N/A,,,
11dbc823-40e2-5ee7-aa16-52a17bcf396b,,ACT-RHD:a_neg,A-,,,Misc,N/A,,,
fe6c2f16-2762-5e3f-8907-c3afe9bc8f84,,ACT-RHD:b_pos,B+,,,Misc,N/A,,,
623a2ca4-4388-50c8-a94d-28342caaf998,,ACT-RHD:b_neg,B-,,,Misc,N/A,,,
0c794883-e4a2-5a5e-8321-062255bc121d,,ACT-RHD:ab_pos,AB+,,,Misc,N/A,,,
8b96b336-8917-5966-8007-6245e4bccff3,,ACT-RHD:ab_neg,AB-,,,Misc,N/A,,,
4037ad7c-4811-5464-a842-c44babdca843,,ACT-RHD:o_pos,O+,,,Misc,N/A,,,
bd4e617c-37cc-5843-905b-ef4660603f6b,,ACT-RHD:o_neg,O-,,,Misc,N/A,,,
fa12688a-4c1e-5f63-9f6f-7cd97a939359,true,ACT-RHD:rachs_category_1,RACHS category 1,,"invented label -- live shows the bare number, replaced by rachs_1 -- retired 2026-09-16",Misc,N/A,,,
92aa7da3-f611-5f71-8273-d15c4848443e,true,ACT-RHD:rachs_category_2,RACHS category 2,,"invented label -- live shows the bare number, replaced by rachs_2 -- retired 2026-09-16",Misc,N/A,,,
7afb81aa-1c54-5053-8795-9ed01449015f,true,ACT-RHD:rachs_category_3,RACHS category 3,,"invented label -- live shows the bare number, replaced by rachs_3 -- retired 2026-09-16",Misc,N/A,,,
4a0b0405-8c3a-56a8-9af3-1486153ab98a,true,ACT-RHD:rachs_category_4,RACHS category 4,,"invented label -- live shows the bare number, replaced by rachs_4 -- retired 2026-09-16",Misc,N/A,,,
72705bc9-b136-5223-b463-049b5f81d536,true,ACT-RHD:rachs_category_5,RACHS category 5,,"invented label -- live shows the bare number, replaced by rachs_5 -- retired 2026-09-16",Misc,N/A,,,
9791ebf9-e8ab-5711-babe-4d1af09e3c6b,true,ACT-RHD:rachs_category_6,RACHS category 6,,"invented label -- live shows the bare number, replaced by rachs_6 -- retired 2026-09-16",Misc,N/A,,,
57eab69e-f125-573c-b0cb-9531295e9b08,,ACT-RHD:rachs_1,1,,"RACHs Score answer, verified against live 2026-09-16",Misc,N/A,,,
d6c57238-716c-5334-b145-891f663ca2a3,,ACT-RHD:rachs_2,2,,"RACHs Score answer, verified against live 2026-09-16",Misc,N/A,,,
b3fdf658-cd2b-5a25-b3e9-77e3fdccc1b7,,ACT-RHD:rachs_3,3,,"RACHs Score answer, verified against live 2026-09-16",Misc,N/A,,,
cec8b2cc-d6c4-5202-9512-7c70edb5ce3d,,ACT-RHD:rachs_4,4,,"RACHs Score answer, verified against live 2026-09-16",Misc,N/A,,,
3daca705-4f6b-53e0-bcc4-1a0ce8796b8e,,ACT-RHD:rachs_5,5,,"RACHs Score answer, verified against live 2026-09-16",Misc,N/A,,,
01400697-c20a-5150-9528-5bddfbda2b4a,,ACT-RHD:rachs_6,6,,"RACHs Score answer, verified against live 2026-09-16",Misc,N/A,,,
1600a5b7-465e-501a-88b3-7b038e5b8c73,,ACT-RHD:rachs_n_a,n/a,,"RACHs Score answer, verified against live 2026-09-16",Misc,N/A,,,
345d08e3-3e7e-50b3-8deb-17f44715bedf,,ACT-RHD:residual_defect,Residual defect,,"Describe Reason for Reoperation answer, verified against live 2026-09-16",Misc,N/A,,,
