Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Allow decimals,Answers,_version:1,_order:2007
38b35726-3ea0-537d-92e8-4768af5e1cd3,,ACT-RHD:q_indication_for_catheterization,Indication for catheterization,,,Question,Coded,,Routine/Surveillance; Clinical Change/Findings; Urgent/Emergent; Other (with field to complete),,
72356252-e2f9-54f6-971e-00afb0def731,,ACT-RHD:q_intervention_complete,Intervention Complete,,,Question,Boolean,,,,
726b7eaa-3ecf-5c6b-ba21-cd81c58d6a0d,,ACT-RHD:q_is_patient_alive,Is Patient Alive?,,,Question,Boolean,,,,
225911b3-f49b-5ec5-8da8-09a4b95b5219,,ACT-RHD:q_is_the_patient_ok,Is the patient OK?,,,Question,Boolean,,,,
ffcc9d8f-e27c-53cc-a8dd-013fd51e01fe,,ACT-RHD:q_location,Location,,,Question,Text,,,,
b8df8430-b9bb-5bd4-8215-6f92bf7e9419,,ACT-RHD:q_mitral_valve_assessment,Mitral Valve Assessment,,"renamed 2026-09-16 -- this concept's answers (Sufficient/Insufficient) match live's Mitral Valve Assessment field, not live's separate numeric Mitral Valve Area field",Question,Coded,,Sufficient (>1.5cm2 or >50% of baseline); Insufficient,,
33c77c14-f1fc-5e16-98a5-ca8ac72a1536,,ACT-RHD:q_open_chest_after_surgery,Open Chest After Surgery,,,Question,Boolean,,,,
7961d827-0af9-5c92-9818-24e2e886de6f,,ACT-RHD:q_organism_identified_if_known,Organism Identified (if Known),,,Question,Text,,,,
a79a6ac1-619a-5c55-9129-bd0e46e05cb8,,ACT-RHD:q_other_major_complications_assiciated_with_surgery,Other Major Complications Assiciated with Surgery,,"changed from Boolean to Text 2026-09-16 -- live renders this as free text with the instruction to include 'none', not a Yes/No toggle",Question,Text,,,,
8b9ccf9e-ab44-56d2-885e-61a626cb6569,,ACT-RHD:q_other_pertinent_medical_information,Other Pertinent Medical Information,,,Question,Text,,,,
1c14c3f1-1532-51b0-8680-d761e7f25ad5,,ACT-RHD:q_perfusion_issues,Perfusion Issues,,,Question,Boolean,,,,
4c631baa-7585-57c4-a4b2-cc67cb6ce19c,,ACT-RHD:q_post_catheterization_diagnosis,Post-Catheterization Diagnosis,,,Question,Text,,,,
9ccd8043-d9be-5b24-8fc4-4890d46e716f,,ACT-RHD:q_post_inflation_la_pressure,Post-Inflation: LA Pressure,,,Question,Text,,,,
18060962-d3fe-5d6b-89ef-2d5386c2ad44,,ACT-RHD:q_post_inflation_lv_pressure,Post-Inflation: LV Pressure,,,Question,Text,,,,
87002af1-9c93-5dcc-8f9b-fca84d80f6b3,,ACT-RHD:q_pre_catheterization_diagnosis,Pre-Catheterization Diagnosis,,,Question,Text,,,,
57d774b1-9060-5615-ad9b-f740d513e410,,ACT-RHD:q_pre_inflation_la_pressure,Pre-Inflation: LA Pressure,,,Question,Text,,,,
ada941f5-77f2-56f4-b3c2-82d1d528be04,,ACT-RHD:q_pre_inflation_lv_pressure,Pre-Inflation: LV Pressure,,,Question,Text,,,,
6cbb5176-144a-576b-9b3d-c9e9d6bc5f5a,,ACT-RHD:q_procedure_date,Procedure Date,,,Question,Date,,,,
1e45a974-f99d-5072-a2bf-28d1f6cf9850,,ACT-RHD:q_procedure_location,Procedure Location,,coded in spec but no answer set resolved -- using Text,Question,Text,,,,
3a576b80-744a-59ee-9515-d9fdca06f3d7,,ACT-RHD:q_procedure_type,Procedure Type,,,Question,Coded,,Surgery; Catheterization; 5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
2e290fa3-977b-5fb4-83c1-d8499bedb65e,,ACT-RHD:q_procedure_performed,Procedure performed,,,Question,Coded,,Diagnostic cardiac catheterization; Mitral balloon valvuloplasty; Other catheter-based intervention; Mitral valve replacement; Mitral valve repair; Aortic valve replacement; 5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
c997adcd-e9ab-5705-91bb-1dbea2a3abb8,,ACT-RHD:q_reason_for_surgery,Reason for Surgery,,,Question,Text,,,,
0749d05e-6c8a-57e7-84cb-0b04d9e89574,,ACT-RHD:q_required_additional_surgery_for_bleeding,Required Additional Surgery for Bleeding,,,Question,Boolean,,,,
7a54d2d6-0d34-5e5d-b8e7-84a3cf7e9dca,,ACT-RHD:q_surgery_outcome,Procedural Outcome,,"relabeled 2026-09-16 to match live Procedures and Outcomes wording; form displays the Death answer as 'In-hospital death' via the ampathform label, FSN unchanged to avoid re-minting the concept",Question,Coded,,Discharge to home; Transfer to another facility; Death,,
46f4af80-b783-59f4-beb1-81144ccf3084,,ACT-RHD:q_surgery_type_s,Surgery Type(s),,expanded to full 22-option live answer set 2026-09-16,Question,Coded,,Anomalous pulmonary vein repair; Aortic coarctation repair; Aortic valve repair/replacement; Aortopulmonary shunt; Arterial switch; Atrial septal defect repair; Atrioventricular septal defect repair; Double outlet right ventricular repair; Fontan; Glenn; Mitral valve repair/replacement; Patent ductus arteriosus ligation; Pericardiectomy; Pulmonary artery band placement; Pulmonary arteryplasty; Pulmonary valve repair/replacement; Subaortic stenosis repair; Tetralogy of fallot repair; Tricuspid valve repair; Truncus arteriosus repair; Vascular ring division; Ventricular septal defect repair; Other (with field to complete),,
15e033f6-704e-5bde-ac1d-b401294f416c,,ACT-RHD:q_surgical_site_infection,Site Infection,,relabeled 2026-09-16 to match live Procedures and Outcomes wording,Question,Boolean,,,,
891c9214-ad2a-51b9-9007-291406fd2054,,ACT-RHD:q_type_of_intervention,Type of Intervention,,,Question,Coded,,Cardiac catheterization; Cardiac surgery,,
26f8371b-ef08-5a2d-ab3d-88d384b142a5,,ACT-RHD:q_ventilation_time,Ventilation Time,,,Question,Numeric,,,,
1eb39d33-bbea-53f6-83ad-bb499d4dcbcc,,ACT-RHD:q_with_visiting_team,With Visiting Team,,,Question,Coded,,cf82933b-3f3f-45e7-a5ab-5d31aaee3da3; 488b58ff-64f5-4f8a-8979-fa79940b1594,,
67fb01b3-8b06-51b4-a9fc-a7fef0410b1c,,ACT-RHD:q_blood_group,Blood Group,,,Question,Coded,,A+; A-; B+; B-; AB+; AB-; O+; O-,,
c23c29e7-70b2-5096-b294-e4df1728dcda,,ACT-RHD:q_rachs_score,RACHs Score,,"un-retired 2026-09-16 -- field exists on live, shown only when Procedure Type = Surgery (verified live 2026-09-17: hidden under Catheterization); answers corrected to match live exactly (previously invented category-N labels)",Question,Coded,,1; 2; 3; 4; 5; 6; n/a,,
08c2c1d4-1de4-5be7-b811-6e0eea6208de,,ACT-RHD:q_presurgical_diagnosis,Pre-Surgical Diagnosis,,,Question,Text,,,,
39ab4186-74ff-5715-9d5c-a212acba2801,,ACT-RHD:q_post_surgical_diagnosis,Post-Surgical Diagnosis,,,Question,Text,,,,
f95ce45d-6b93-555a-8ee8-3f0d96b20184,,ACT-RHD:q_key_findings_surgical_notes,Key Findings and Surgical Notes,,,Question,Text,,,,
6acafff7-7a23-50e6-8bca-24d8fc77c87d,,ACT-RHD:q_cardiopulmonary_bypass_time,Cardiopulmonary Bypass Time,,minutes,Question,Numeric,,,,
2261ce30-1c1e-51d8-95c7-7752e4e9cfb4,,ACT-RHD:q_reoperation_required,Reoperation Required,,,Question,Coded,,cf82933b-3f3f-45e7-a5ab-5d31aaee3da3; 488b58ff-64f5-4f8a-8979-fa79940b1594,,
c9a8f53f-03ea-5425-97aa-f335a97e4e0f,,ACT-RHD:q_describe_reason_for_reoperation,Describe Reason for Reoperation,,"corrected 2026-09-16 to Coded, multi-select, matching live exactly (Bleeding, Residual defect, allows free text)",Question,Coded,,Bleeding; Residual defect,,
a34decd1-434a-5ca6-815c-a1b502b11fa5,true,ACT-RHD:q_degree_of_mr,Degree of MR,,"invented during migration on this form -- Degree of MR belongs on Echocardiogram, not Procedures and Outcomes -- retired 2026-09-16",Question,Coded,,1107AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1498AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1499AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1500AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
98775f75-0e36-58dd-9d83-1bbadc24d40c,,ACT-RHD:q_body_surface_area,BSA,,"calculated (read-only) from Height and Weight via the Haycock formula, matching live Procedures and Outcomes exactly (verified against live: h=140cm/w=35kg -> 1.164; h=140cm/w=50kg -> 1.411) -- no BSA concept in ciel-reuse.csv, so a new concept was minted -- added 2026-09-16",Question,Numeric,true,,,
e7f9a339-28a7-512c-b6d1-3f81741b860f,,ACT-RHD:q_mitral_valve_area_measurement,Mitral Valve Area,,"added 2026-09-16 -- live has this as a separate raw numeric measurement (cm2), distinct from the coded Mitral Valve Assessment field it was previously conflated with",Question,Numeric,,,,
c76b304e-746e-5b70-8ba3-1c4fac127eac,,ACT-RHD:q_date_of_rehospitalization,Date of Rehospitalization,,"added 2026-09-16 -- missing field found on live, between 'Was the rehospitalization related to the procedure?' and 'Describe Rehospitalization'",Question,Date,,,,
09a8788a-a8c2-57cd-b583-bf83254315a7,,ACT-RHD:q_pericardial_effusion,Pericardial Effusion Post-Procedure,,,Question,Coded,,cf82933b-3f3f-45e7-a5ab-5d31aaee3da3; 488b58ff-64f5-4f8a-8979-fa79940b1594,,
d0546da8-7871-517e-8444-cdb19ffbae97,,ACT-RHD:q_describe_events_around_patient_death,Describe Events Around Patient Death,,,Question,Text,,,,
cfcfa842-520c-5020-8b6a-54cf47d40d1a,,ACT-RHD:q_rehospitalized_within_30_days,Rehospitalized Within 30 Days,,,Question,Coded,,cf82933b-3f3f-45e7-a5ab-5d31aaee3da3; 488b58ff-64f5-4f8a-8979-fa79940b1594,,
186f7677-c0f6-5359-b5b2-22c7f3b962a8,,ACT-RHD:q_rehospitalization_procedure_related,Rehospitalization Related to the Procedure,,,Question,Coded,,cf82933b-3f3f-45e7-a5ab-5d31aaee3da3; 488b58ff-64f5-4f8a-8979-fa79940b1594,,
f61ec9e8-4f6d-554f-aa58-915e0715f11f,,ACT-RHD:q_describe_rehospitalization,Describe Rehospitalization,,,Question,Text,,,,
32c3afed-6be4-5b50-9555-2ea75238a3dc,,ACT-RHD:q_patient_followup_required,Patient Follow-Up Required,,,Question,Coded,,cf82933b-3f3f-45e7-a5ab-5d31aaee3da3; 488b58ff-64f5-4f8a-8979-fa79940b1594,,
c916b451-9a62-51cf-8d47-d6dd85557d14,,ACT-RHD:q_patient_followup_arranged,Patient Follow-Up Arranged,,"answers corrected 2026-09-16 -- live is a select with these two Yes-variants plus free text for the no-case, not a plain Yes/No",Question,Coded,,"Yes, clinician phone call; Yes, follow-up appointment",,
dda9180a-14cd-5409-9569-cda3ec0c69c5,,ACT-RHD:yes_clinician_phone_call,"Yes, clinician phone call",,,Misc,N/A,,,,
66378fd1-0168-5be4-b101-988a7bd66d70,,ACT-RHD:yes_follow_up_appointment,"Yes, follow-up appointment",,,Misc,N/A,,,,
